,gen,max_speed_indi,max_matSelectionProb_indi,max_vision_indi,avg_speed_indi,avg_matSelectionProb_indi,avg_vision_indi,population_indi,max_speed_pred,max_matSelectionProb_pred,max_vision_pred,avg_speed_pred,avg_matSelectionProb_pred,avg_vision_pred,population_pred
0,1,2.1,0.6,20,2.004166666666667,0.50025,13.925,240,2.1,0.6,20,2.004166666666667,0.5023611111111111,14.027777777777779,72
1,2,2.1,0.58,20,2.0083333333333337,0.5016666666666666,11.916666666666666,168,2.1,0.6,20,2.016666666666666,0.5022916666666667,13.479166666666666,48
2,3,2.1,0.58,20,2.017567567567567,0.5039189189189187,10.317567567567568,148,2.2,0.55,20,2.041666666666666,0.4845833333333333,14.0,48
3,4,2.2,0.6,17,2.0333333333333328,0.49878787878787884,8.795454545454545,132,2.2,0.55,20,2.0807692307692296,0.45211538461538453,12.596153846153847,52
4,5,2.2,0.6,19,2.0564814814814802,0.4950925925925923,6.7592592592592595,108,2.2,0.5,20,2.0833333333333313,0.44527777777777744,11.930555555555555,72
5,6,2.2,0.58,20,2.073999999999998,0.4897999999999996,4.44,100,2.2,0.57,20,2.088999999999997,0.4436999999999996,11.51,100
6,7,2.3000000000000003,0.6,10,2.0953703703703686,0.480185185185185,2.4722222222222223,108,2.2,0.57,20,2.0885714285714267,0.44235714285714245,9.614285714285714,140
7,8,2.2,0.58,12,2.105263157894736,0.479078947368421,1.5,76,2.2,0.6,20,2.093627450980396,0.4433333333333338,8.794117647058824,204
8,9,2.2,0.59,20,2.0980769230769223,0.47346153846153843,5.096153846153846,52,2.3000000000000003,0.6,20,2.1172535211267687,0.4378873239436627,6.647887323943662,284
9,10,2.2,0.51,12,2.0666666666666664,0.48750000000000004,4.0,36,2.4000000000000004,0.6,20,2.131683168316844,0.4363613861386144,5.126237623762377,404
10,11,2.2,0.55,10,2.0750000000000006,0.499375,3.875,16,2.4000000000000004,0.6,20,2.1421232876712355,0.4382020547945214,4.196917808219178,584
11,12,2.2,0.55,10,2.1500000000000004,0.525,8.0,4,2.5000000000000004,0.6,20,2.151690821256032,0.43904589371980557,3.2705314009661834,828
